CountryCode,Population,GDP_Per_Capita,Hospital_Beds_Per_Thousand,Life_Expectancy,StringencyIndex_Average,GovernmentResponseIndex_Average,ContainmentHealthIndex_Average,EconomicSupportIndex,Mortality Rate,H5,V1,V3,ConfirmedCases,ConfirmedDeaths,StringencyIndex_Average_Category,GovernmentResponseIndex_Average_Category,ContainmentHealthIndex_Average_Category,EconomicSupportIndex_Category,Combined_Category
AFG,41128772.0,1803.987,0.5,64.83,27.3945802919708,26.088868613138686,29.713877737226277,0.7071167883211679,0.10838366493888076,113000000.0,2,5,115803695.0,4885625.0,0,0,0,0,SI0.0_GI0.0_CI0.0_EI0.0
ALB,2842318.0,11803.431,2.89,78.57,41.78210766423358,44.86627737226278,46.19323905109489,35.583941605839414,0.7193233200641013,6900000.0,2,5,162838359.0,2240822.0,1,2,1,2,SI1.0_GI2.0_CI1.0_EI2.0
ARE,9441138.0,67293.483,1.2,77.97,44.236423357664236,48.78550182481752,52.14188868613139,25.29653284671533,0.15144043789982742,5000000.0,2,5,582167866.0,1567028.0,2,3,3,1,SI2.0_GI3.0_CI3.0_EI1.0
ARG,45510324.0,18933.907,5.0,76.67,52.42909671532847,53.55075729927007,54.90554744525548,44.06934306569343,1.6474059402914774,100000000.0,2,5,4943786463.0,82171480.0,4,4,4,3,SI4.0_GI4.0_CI4.0_EI3.0
AUS,26177410.0,44648.71,3.8399999999999994,83.44,47.19702554744526,48.60012773722627,52.189498175182486,23.471715328467152,0.1508830396047975,4703229757.98,2,5,2740589906.0,4328901.0,3,2,3,1,SI3.0_GI2.0_CI3.0_EI1.0
AUT,8939617.0,45436.686,7.37,81.54,49.143120437956206,62.53241788321168,58.53748175182482,90.48813868613139,1.2509099687266032,1085695.0,2,5,1815321255.0,12256191.0,3,4,4,4,SI3.0_GI4.0_CI4.0_EI4.0
AZE,10358078.0,15847.419,4.7,73.0,59.99155109489052,53.83354927007299,58.876925182481756,18.533302919708028,0.4906565797329959,0.0,2,5,437250534.0,5570156.0,4,4,4,1,SI4.0_GI4.0_CI4.0_EI1.0
BDI,12889583.0,702.225,0.8,61.57999999999999,15.849945255474454,18.62683394160584,19.61507299270073,11.701642335766424,0.0014898439424521858,0.0,0,0,19543406.0,21047.0,0,0,0,0,SI0.0_GI0.0_CI0.0_EI0.0
BEL,11655923.0,42658.576,5.64,81.63,39.04728102189781,49.48482664233577,50.06787408759124,45.40374087591241,1.8336023285967593,27401640.27,2,5,1961000442.0,23424071.0,1,3,2,3,SI1.0_GI3.0_CI2.0_EI3.0
BEN,13352864.0,2064.236,0.5,61.769999999999996,32.174443430656936,37.478850364963506,37.743686131386866,35.62956204379562,0.0073680166358012205,0.0,2,5,15000236.0,107829.0,0,0,0,2,SI0.0_GI0.0_CI0.0_EI2.0
BFA,22673764.0,1703.102,0.4,61.57999999999999,20.494908759124087,27.162901459854016,29.9455200729927,7.687043795620438,0.008828332730583035,0.0,0,5,13054004.0,219388.0,0,0,0,0,SI0.0_GI0.0_CI0.0_EI0.0
BGD,171186368.0,3523.984,0.8,72.59,49.97339416058394,49.230802919708026,52.50686131386861,26.300182481751825,0.09644765477253268,0.0,2,5,1170813506.0,18095534.0,3,3,3,1,SI3.0_GI3.0_CI3.0_EI1.0
BGR,6781955.0,18563.307,7.454,75.05,36.167572992700734,41.94815693430657,40.45234489051094,52.417883211678834,2.7305241587127784,79094046.73,2,5,595528004.0,20296048.0,0,1,0,4,SI0.0_GI1.0_CI0.0_EI4.0
BHR,1472237.0,43290.705,2.0,77.29,37.79302919708029,49.15882299270073,49.79383211678832,44.70802919708029,0.5961247145085123,0.0,2,5,309561460.0,961890.0,1,3,2,3,SI1.0_GI3.0_CI2.0_EI3.0
BHS,409989.0,27717.847,2.9,73.92,52.295,52.45429744525548,57.24272810218978,18.932481751824817,0.9785490417198838,1600000.0,2,5,18952757.0,439709.0,4,4,4,1,SI4.0_GI4.0_CI4.0_EI1.0
BIH,3233530.0,11713.895,3.5,77.4,38.6827098540146,39.09128649635037,41.90067518248175,19.422901459854014,2.607571472644944,9190000.0,2,5,220279038.0,9241100.0,1,0,1,1,SI1.0_GI0.0_CI1.0_EI1.0
BLR,9534956.0,17167.967,11.0,74.79,23.35875912408759,27.627673357664232,31.439060218978103,0.958029197080292,0.3703299081361302,0.0,2,5,526056581.0,3870063.0,0,0,0,0,SI0.0_GI0.0_CI0.0_EI0.0
BLZ,405285.0,7824.362,1.3,74.62,48.01630474452555,48.221104014598545,50.92187956204379,29.311131386861312,0.8855195078096345,6200000.0,2,5,29375422.0,393341.0,3,2,3,2,SI3.0_GI2.0_CI3.0_EI2.0
