,Experiment,R2,MSE,RMSE
0,globalMR\_NoLag,0.6878070282764837,0.0047828014974692,0.0691578014215988
1,globalMR\_log\_NoLag,0.8253162063994512,0.0027110717837841,0.0337679748188331
2,globalMR\_logT\_NoLag,0.9768742983017302,0.0003619386020523,0.0337679748188331
3,globalMR\_lopo\_NoLag,0.9228828318820816,0.0012069549450653,0.0347412571025482
4,globalMR\_ENGS\_NoLag.alpha(1e-06)\_\_l1Ratio(1.0,0.6879123537430505,0.004781187909577,0.0691461344514431
5,globalMR\_ENGS\_NoLag.alpha(1e-06)\_\_l1Ratio(1.0\_2000,0.6878661414016861,0.0047818958834121,0.06915125366479
6,globalMR\_ENGS\_NoLag.alpha(5e-06)\_\_l1Ratio(0.7\_2000,0.6880202821966226,0.0047795344438807,0.0691341771042425
7,globalMR\_Lag7,0.6839473126798008,0.0048419324043366,0.0695839953174337
8,globalMR\_log\_Lag7,0.8065294092800872,0.0030026406496084,0.0781828392289864
9,globalMR\_logT\_Lag7,0.9745597244563456,0.0003981638216316,0.0687396560470347
10,globalMR\_lopo\_Lag7,0.9233129967111912,0.0012002224679742,0.0346442270511873
11,globalMR\_lopo\_Lag7\_5e-06,0.9175273896402364,0.0012907725651175,0.0359273233781411
12,globalMR\_ENGS\_Lag7.alpha(1e-06)\_\_l1Ratio(0.1,0.6839926330896081,0.0048412380949077,0.0695790061362461
13,globalMR\_ENGS\_Lag7.alpha(1e-06)\_\_l1Ratio(0.1\_2000,0.6839542245655944,0.0048418265141318,0.0695832344328129
14,globalMR\_Lag14,0.6884833451731365,0.0047724403114111,0.069082851066029
15,globalMR\_log\_Lag14,0.778005286589566,0.0034453316548215,0.0687396560470347
16,globalMR\_logT\_Lag14,0.9765285259214253,0.0003673502593325,0.0687396560470347
17,globalMR\_lopo\_Lag14,0.9273625906496532,0.0011368425806051,0.0337170962659179
18,globalMR\_ENGS\_Lag14.alpha(1e-06)\_\_l1Ratio(0.1,0.6885014116896306,0.0047721635320792,0.0690808477950237
19,globalMR\_ENGS\_Lag14.alpha(1e-06)\_\_l1Ratio(0.1\_2000,0.6884871068758807,0.0047723826820628,0.0690824339616288
20,globalMR\_Lag21,0.6915708090641737,0.0047251403134646,0.0687396560470347
21,globalMR\_poly2\_Lag21,0.6915708090641737,0.0047251403134646,0.0687396560470347
22,globalMR\_poly3\_Lag21,0.6915708090641737,0.0047251403134646,0.0687396560470347
23,globalMR\_poly4\_Lag21,0.6915708090641737,0.0047251403134646,0.0687396560470347
24,globalMR\_poly5\_Lag21,0.6915708090641737,0.0047251403134646,0.0687396560470347
25,globalMR\_poly6\_Lag21,0.6915708090641737,0.0047251403134646,0.0687396560470347
26,globalMR\_poly7\_Lag21,0.6915708090641737,0.0047251403134646,0.0687396560470347
27,globalMR\_log\_Lag21,0.7643177220616741,0.0036577610348769,0.0687396560470347
28,globalMR\_logT\_Lag21,0.9775889591247132,0.0003507534997541,0.0687396560470347
29,globalMR\_lopo\_Lag21,0.9271432079002316,0.0011402761233653,0.0337679748188331
30,globalMR\_ENGS\_Lag21.alpha(1e-05)\_\_l1Ratio(0.1,0.6915694293903878,0.0047251614500898,0.0687398097909056
31,globalMR\_ENGS\_Lag21.alpha(1e-05)\_\_l1Ratio(0.1\_2000,0.6915705443658691,0.004725144368647,0.0687396855437021
